Algorithm,Runtime
qs1,0.018512964248657227
qs1,0.020011425018310547
qs1,0.01951885223388672
qs1,0.019017934799194336
qs1,0.0190126895904541
qs1,0.018558502197265625
qs1,0.019021272659301758
qs1,0.018520116806030273
qs1,0.019989490509033203
qs1,0.019013643264770508
qs1,0.01901388168334961
qs1,0.018382549285888672
qs1,0.019133329391479492
qs1,0.01901388168334961
qs1,0.018012046813964844
qs1,0.0195920467376709
qs1,0.019011974334716797
qs1,0.020012617111206055
qs1,0.019519329071044922
qs1,0.019011735916137695
qs2,0.026851415634155273
qs2,0.029302358627319336
qs2,0.02702784538269043
qs2,0.02752089500427246
qs2,0.02955174446105957
qs2,0.03267860412597656
qs2,0.0295257568359375
qs2,0.028653621673583984
qs2,0.02705097198486328
qs2,0.02754354476928711
qs2,0.02852010726928711
qs2,0.025515317916870117
qs2,0.02752399444580078
qs2,0.02762627601623535
qs2,0.026524066925048828
qs2,0.027012348175048828
qs2,0.02602243423461914
qs2,0.027073383331298828
qs2,0.02752208709716797
qs2,0.02725052833557129
qs3,0.02763199806213379
qs3,0.027518510818481445
qs3,0.02752208709716797
qs3,0.027526140213012695
qs3,0.026536226272583008
qs3,0.026498794555664062
qs3,0.026016712188720703
qs3,0.027025938034057617
qs3,0.027516603469848633
qs3,0.027010679244995117
qs3,0.029255151748657227
qs3,0.03188896179199219
qs3,0.0280611515045166
qs3,0.027932405471801758
qs3,0.02702617645263672
qs3,0.027019262313842773
qs3,0.027518272399902344
qs3,0.027520418167114258
qs3,0.02701854705810547
qs3,0.0267026424407959
qs4,0.0280759334564209
qs4,0.03152346611022949
qs4,0.0292513370513916
qs4,0.029518842697143555
qs4,0.029587745666503906
qs4,0.030375957489013672
qs4,0.029520750045776367
qs4,0.027516603469848633
qs4,0.028606653213500977
qs4,0.030666589736938477
qs4,0.02967691421508789
qs4,0.028516530990600586
qs4,0.026514053344726562
qs4,0.02851700782775879
qs4,0.028513669967651367
qs4,0.027220487594604492
qs4,0.030672311782836914
qs4,0.02815556526184082
qs4,0.03151583671569824
qs4,0.026067256927490234
qs5,0.027216434478759766
qs5,0.026044368743896484
qs5,0.025760173797607422
qs5,0.025986671447753906
qs5,0.02751755714416504
qs5,0.02757740020751953
qs5,0.027234554290771484
qs5,0.027521610260009766
qs5,0.026520252227783203
qs5,0.02722787857055664
qs5,0.025560617446899414
qs5,0.02608203887939453
qs5,0.026691675186157227
qs5,0.026352882385253906
qs5,0.026162385940551758
qs5,0.02662801742553711
qs5,0.02517104148864746
qs5,0.025952816009521484
qs5,0.02834153175354004
qs5,0.02652740478515625
merge1,0.036545753479003906
merge1,0.030559539794921875
merge1,0.030407428741455078
merge1,0.03685784339904785
merge1,0.031580209732055664
merge1,0.030518770217895508
merge1,0.0305941104888916
merge1,0.029152393341064453
merge1,0.030164480209350586
merge1,0.029517173767089844
merge1,0.02937793731689453
merge1,0.028753042221069336
merge1,0.02951836585998535
merge1,0.029522418975830078
merge1,0.030090808868408203
merge1,0.030059099197387695
merge1,0.030081748962402344
merge1,0.029163599014282227
merge1,0.02951979637145996
merge1,0.030518770217895508
partition_sort,0.014505147933959961
partition_sort,0.015010356903076172
partition_sort,0.015010356903076172
partition_sort,0.015012264251708984
partition_sort,0.01450800895690918
partition_sort,0.015549421310424805
partition_sort,0.014506101608276367
partition_sort,0.014761686325073242
partition_sort,0.015009403228759766
partition_sort,0.014011621475219727
partition_sort,0.015505075454711914
partition_sort,0.018069028854370117
partition_sort,0.015049219131469727
partition_sort,0.015360832214355469
partition_sort,0.015294790267944336
partition_sort,0.01488184928894043
partition_sort,0.015009641647338867
partition_sort,0.015507936477661133
partition_sort,0.015012741088867188
partition_sort,0.014504194259643555
